age,workclass,education,marital-status,occupation,sex,hours-per-week,native-country,income
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Male,40, United-States, <=50K
23, Local-gov, Assoc-acdm, Never-married, Protective-serv, Male,52, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Male,44, United-States, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Male,40, United-States, <=50K
30, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Male,40, United-States, <=50K
22, State-gov, Some-college, Married-civ-spouse, Other-service, Male,15, United-States, <=50K
48, Private, 11th, Never-married, Machine-op-inspct, Male,40, Puerto-Rico, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Male,40, United-States, <=50K
19, Private, HS-grad, Married-AF-spouse, Adm-clerical, Female,25, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Male,38, ?, >50K
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Male,40, United-States, <=50K
31, Private, 9th, Married-civ-spouse, Machine-op-inspct, Male,43, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Male,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Male,50, United-States, <=50K
49, Private, HS-grad, Separated, Adm-clerical, Female,40, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Male,35, United-States, <=50K
57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Male,40, United-States, >50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Male,38, United-States, <=50K
44, Private, Masters, Divorced, Exec-managerial, Female,40, United-States, <=50K
41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Male,40, United-States, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Male,43, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Female,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Female,30, ?, <=50K
47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Female,60, Honduras, >50K
50, Federal-gov, Bachelors, Divorced, Exec-managerial, Male,55, United-States, >50K
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Male,60, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Male,40, United-States, >50K
46, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Male,40, Mexico, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Other-service, Male,40, Puerto-Rico, <=50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Male,48, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Male,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Sales, Male,40, United-States, <=50K
32, ?, 7th-8th, Married-spouse-absent, ?, Male,40, ?, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Male,40, United-States, <=50K
42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Male,45, United-States, >50K
29, Private, Some-college, Divorced, Tech-support, Male,58, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Male,40, United-States, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Female,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Female,40, United-States, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Male,50, United-States, >50K
25, ?, Some-college, Never-married, ?, Male,40, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Male,32, United-States, <=50K
31, Private, Bachelors, Separated, Sales, Female,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Male,70, United-States, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, Male,40, United-States, <=50K
79, Private, Some-college, Married-civ-spouse, Prof-specialty, Male,20, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Male,40, Mexico, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Male,40, United-States, <=50K
67, ?, 10th, Married-civ-spouse, ?, Male,2, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Female,22, United-States, <=50K
31, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Male,30, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Other-service, Male,40, Cuba, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Female,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Male,48, United-States, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Female,40, United-States, >50K
53, Private, HS-grad, Divorced, Sales, Female,35, United-States, <=50K
49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Male,40, United-States, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Male,50, United-States, <=50K
30, Private, 9th, Never-married, Sales, Male,40, United-States, <=50K
43, Federal-gov, Doctorate, Never-married, Prof-specialty, Female,50, United-States, >50K
57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Male,40, United-States, <=50K
37, Private, Some-college, Divorced, Craft-repair, Female,40, United-States, <=50K
28, Private, Some-college, Divorced, Machine-op-inspct, Female,25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Female,35, ?, <=50K
34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Male,40, United-States, >50K
29, Local-gov, Some-college, Never-married, Handlers-cleaners, Male,50, United-States, <=50K
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Male,60, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Sales, Male,48, United-States, >50K
48, Private, Assoc-acdm, Divorced, Exec-managerial, Female,40, England, <=50K
32, Federal-gov, HS-grad, Never-married, Other-service, Male,40, United-States, <=50K
76, Private, Masters, Married-civ-spouse, Exec-managerial, Male,40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Male,60, United-States, >50K
47, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Female,50, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Female,40, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Male,40, United-States, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Male,40, United-States, >50K
17, ?, 10th, Never-married, ?, Female,32, United-States, <=50K
30, Private, 11th, Never-married, Handlers-cleaners, Male,40, United-States, <=50K
31, Local-gov, HS-grad, Never-married, Adm-clerical, Female,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Male,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Male,40, United-States, <=50K
38, Private, Prof-school, Married-civ-spouse, Prof-specialty, Male,40, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Male,50, Canada, >50K
28, Private, Some-college, Married-civ-spouse, Sales, Female,25, United-States, <=50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Female,40, United-States, <=50K
53, Private, 9th, Married-civ-spouse, Handlers-cleaners, Male,50, United-States, <=50K
56, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Male,50, United-States, <=50K
49, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Male,40, United-States, >50K
55, Private, Some-college, Married-civ-spouse, Sales, Male,56, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Male,41, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Female,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Male,60, United-States, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Male,40, Germany, <=50K
29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Male,50, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Male,35, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Female,40, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Female,28, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Male,40, United-States, >50K
35, ?, HS-grad, Married-civ-spouse, ?, Male,40, United-States, <=50K
39, Private, Some-college, Divorced, Craft-repair, Male,40, United-States, <=50K
28, Private, Assoc-acdm, Never-married, Sales, Female,60, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, Female,40, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Male,35, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Male,50, United-States, <=50K
46, Private, Assoc-acdm, Divorced, Tech-support, Female,36, United-States, <=50K
38, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Male,40, Iran, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Male,60, United-States, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Female,35, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Male,20, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Craft-repair, Male,40, United-States, >50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Male,40, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Female,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Male,30, Mexico, <=50K
45, Private, Assoc-voc, Never-married, Prof-specialty, Female,40, United-States, >50K
70, Private, Some-college, Never-married, Tech-support, Male,40, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Female,30, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Other-service, Male,24, United-States, <=50K
36, Private, HS-grad, Widowed, Other-service, Female,24, United-States, <=50K
64, Private, 11th, Married-civ-spouse, Craft-repair, Male,40, United-States, <=50K
43, ?, Some-college, Divorced, ?, Female,40, United-States, <=50K
47, Local-gov, Some-college, Divorced, Adm-clerical, Female,38, Mexico, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Female,40, United-States, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Female,40, Philippines, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Male,35, United-States, <=50K
52, ?, HS-grad, Divorced, ?, Male,45, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Male,46, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Male,40, United-States, <=50K
71, Self-emp-not-inc, Some-college, Separated, Sales, Male,2, United-States, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Male,60, United-States, <=50K
42, Private, Bachelors, Separated, Other-service, Male,50, United-States, <=50K
68, ?, 1st-4th, Divorced, ?, Female,20, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Female,40, United-States, <=50K
44, Self-emp-inc, Masters, Divorced, Exec-managerial, Female,40, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Female,40, England, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Male,40, United-States, >50K
36, Private, Some-college, Divorced, Other-service, Female,40, Mexico, <=50K
39, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Male,42, United-States, <=50K
46, State-gov, Masters, Widowed, Protective-serv, Male,40, United-States, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Male,16, United-States, <=50K
66, Local-gov, Assoc-voc, Widowed, Prof-specialty, Female,20, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Male,40, United-States, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Male,40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Male,40, United-States, >50K
27, Private, Bachelors, Never-married, Craft-repair, Male,50, United-States, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Male,40, United-States, >50K
27, Private, HS-grad, Married-spouse-absent, Sales, Female,25, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Male,40, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Male,12, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Male,65, United-States, <=50K
44, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Male,38, United-States, >50K
43, Private, Some-college, Divorced, Adm-clerical, Female,40, United-States, <=50K
30, Private, Some-college, Never-married, Craft-repair, Male,45, United-States, <=50K
40, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Male,40, Mexico, >50K
37, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Male,42, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Male,40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Female,40, United-States, <=50K
53, ?, Bachelors, Divorced, ?, Female,50, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Prof-specialty, Female,50, United-States, <=50K
58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Male,1, United-States, >50K
38, Private, Some-college, Divorced, Machine-op-inspct, Female,28, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Male,40, United-States, <=50K
41, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Male,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Tech-support, Male,45, United-States, <=50K
41, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Male,24, United-States, <=50K
23, Private, 5th-6th, Married-civ-spouse, Transport-moving, Male,40, Mexico, <=50K
36, Private, Some-college, Divorced, Craft-repair, Male,40, United-States, <=50K
40, Federal-gov, Masters, Never-married, Exec-managerial, Female,55, United-States, >50K
35, Private, Masters, Married-civ-spouse, Prof-specialty, Male,40, United-States, >50K
24, Self-emp-not-inc, HS-grad, Never-married, Sales, Male,40, United-States, <=50K
26, Private, Masters, Never-married, Prof-specialty, Female,40, United-States, <=50K
19, ?, HS-grad, Never-married, ?, Male,40, Italy, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Male,50, United-States, >50K
42, Local-gov, Some-college, Never-married, Prof-specialty, Female,40, United-States, <=50K
37, State-gov, HS-grad, Divorced, Adm-clerical, Female,35, United-States, <=50K
18, Private, 11th, Never-married, Sales, Female,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Male,36, United-States, >50K
35, Private, HS-grad, Divorced, Craft-repair, Male,60, United-States, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Female,35, United-States, >50K
17, Private, 11th, Never-married, Sales, Female,12, United-States, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Male,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Male,40, United-States, >50K
35, Private, Some-college, Never-married, Sales, Female,40, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Male,40, United-States, <=50K
54, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Male,40, United-States, >50K
37, Private, Bachelors, Never-married, Exec-managerial, Male,60, United-States, >50K
50, Private, Assoc-acdm, Divorced, Sales, Female,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Male,50, Poland, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Male,55, United-States, <=50K
25, Private, 10th, Never-married, Craft-repair, Male,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Male,40, United-States, <=50K
64, ?, 1st-4th, Divorced, ?, Male,40, United-States, <=50K
90, Private, HS-grad, Never-married, Other-service, Male,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Male,20, United-States, <=50K
53, Local-gov, Preschool, Never-married, Machine-op-inspct, Female,35, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Female,40, United-States, <=50K
60, ?, 10th, Divorced, ?, Female,10, United-States, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Male,50, United-States, <=50K
75, Private, Assoc-voc, Widowed, Adm-clerical, Female,20, Columbia, <=50K
65, Private, HS-grad, Divorced, Adm-clerical, Female,40, United-States, <=50K
35, Private, 11th, Separated, Transport-moving, Male,40, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Female,38, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Male,42, United-States, <=50K
33, Private, Some-college, Divorced, Craft-repair, Female,40, United-States, <=50K
28, Private, Prof-school, Never-married, Prof-specialty, Male,55, United-States, >50K
59, State-gov, HS-grad, Married-civ-spouse, Other-service, Male,40, United-States, <=50K
40, State-gov, Some-college, Never-married, Adm-clerical, Female,38, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Male,50, Iran, >50K
38, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Male,70, United-States, >50K
23, Private, HS-grad, Never-married, Transport-moving, Male,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Male,40, United-States, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Female,20, United-States, <=50K
24, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Male,50, United-States, <=50K
20, ?, Some-college, Never-married, ?, Male,20, United-States, <=50K
38, Private, Some-college, Divorced, Craft-repair, Male,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Adm-clerical, Male,35, ?, <=50K
58, Private, HS-grad, Married-civ-spouse, Adm-clerical, Male,45, United-States, >50K
32, Private, HS-grad, Never-married, Other-service, Female,34, United-States, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Male,60, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Male,40, ?, <=50K
41, Private, Prof-school, Married-civ-spouse, Prof-specialty, Female,40, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Female,40, United-States, <=50K
59, Local-gov, 10th, Widowed, Other-service, Female,30, United-States, <=50K
19, Local-gov, Some-college, Never-married, Adm-clerical, Male,40, United-States, <=50K
58, Private, Some-college, Never-married, Transport-moving, Male,20, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Male,40, Cambodia, >50K
20, Private, HS-grad, Never-married, Other-service, Female,40, United-States, <=50K
32, Private, HS-grad, Separated, Other-service, Female,30, United-States, <=50K
45, Private, Assoc-voc, Widowed, Exec-managerial, Female,45, United-States, <=50K
50, Private, 7th-8th, Divorced, Craft-repair, Male,40, United-States, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Female,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Male,60, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Male,12, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Sales, Male,40, United-States, <=50K
26, Private, 11th, Married-civ-spouse, Craft-repair, Male,40, United-States, <=50K
37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Male,75, Thailand, >50K
19, ?, Some-college, Never-married, ?, Male,24, Canada, <=50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Male,40, United-States, >50K
33, Private, Bachelors, Never-married, Prof-specialty, Female,45, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Female,40, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Male,40, United-States, >50K
17, Private, 9th, Never-married, Other-service, Male,24, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Male,98, United-States, <=50K
27, Local-gov, Masters, Never-married, Prof-specialty, Male,35, United-States, <=50K
30, Private, HS-grad, Divorced, Prof-specialty, Female,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Male,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Male,40, United-States, >50K
35, Private, Some-college, Never-married, Exec-managerial, Female,40, United-States, <=50K
25, Private, Some-college, Never-married, Tech-support, Female,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Female,48, United-States, >50K
22, Private, Bachelors, Never-married, Prof-specialty, Female,15, Germany, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Male,40, United-States, >50K
34, Private, Assoc-acdm, Divorced, Sales, Female,45, United-States, <=50K
60, Private, Bachelors, Divorced, Prof-specialty, Female,42, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Male,40, United-States, <=50K
57, Federal-gov, Masters, Married-civ-spouse, Sales, Male,40, United-States, >50K
41, Private, Prof-school, Married-civ-spouse, Prof-specialty, Male,60, United-States, >50K
50, Private, Some-college, Divorced, Other-service, Male,45, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Female,40, United-States, <=50K
50, Private, 7th-8th, Married-civ-spouse, Craft-repair, Male,40, Ecuador, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Male,45, United-States, <=50K
31, Private, HS-grad, Divorced, Prof-specialty, Female,40, United-States, <=50K
29, Local-gov, Bachelors, Never-married, Protective-serv, Male,56, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Male,45, United-States, <=50K
27, Private, Bachelors, Never-married, Tech-support, Female,40, United-States, <=50K
65, Private, HS-grad, Married-civ-spouse, Transport-moving, Male,16, United-States, <=50K
37, Self-emp-inc, Bachelors, Divorced, Sales, Female,60, United-States, <=50K
39, ?, Masters, Married-civ-spouse, ?, Female,40, ?, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Male,40, United-States, <=50K
38, Private, HS-grad, Divorced, Sales, Male,80, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Adm-clerical, Male,40, United-States, >50K
21, Private, Some-college, Never-married, Other-service, Female,25, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Male,45, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Sales, Male,40, United-States, >50K
24, Private, Some-college, Married-civ-spouse, Adm-clerical, Female,40, Laos, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Female,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Tech-support, Male,45, United-States, <=50K
46, Private, Assoc-acdm, Never-married, Prof-specialty, Female,33, United-States, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Male,40, United-States, >50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Male,54, United-States, >50K
26, Private, Bachelors, Never-married, Sales, Male,40, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Exec-managerial, Male,35, Taiwan, >50K
19, ?, Some-college, Never-married, ?, Female,25, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Female,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Male,15, United-States, <=50K
24, Private, Some-college, Never-married, Machine-op-inspct, Male,40, United-States, <=50K
77, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Male,40, United-States, <=50K
22, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Female,40, Mexico, <=50K
29, Private, Some-college, Never-married, Tech-support, Female,40, United-States, <=50K
62, Private, HS-grad, Widowed, Other-service, Female,24, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Male,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Craft-repair, Male,50, United-States, <=50K
35, Private, HS-grad, Divorced, Transport-moving, Male,45, United-States, <=50K
29, Private, 11th, Never-married, Exec-managerial, Female,40, United-States, <=50K
76, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Male,10, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Male,45, United-States, <=50K
23, ?, Assoc-voc, Never-married, ?, Female,15, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, Female,50, United-States, >50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Male,40, United-States, <=50K
66, Private, HS-grad, Never-married, Transport-moving, Male,55, United-States, <=50K
41, Private, Some-college, Never-married, Craft-repair, Male,45, United-States, <=50K
26, Private, Bachelors, Never-married, Adm-clerical, Male,40, United-States, <=50K
47, Private, Assoc-voc, Never-married, Other-service, Male,40, United-States, <=50K
55, Local-gov, 10th, Married-civ-spouse, Adm-clerical, Male,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, Male,40, United-States, <=50K
17, Private, 5th-6th, Never-married, Other-service, Male,48, Mexico, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Male,40, United-States, <=50K
49, Private, Masters, Never-married, Prof-specialty, Male,60, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Male,30, Haiti, <=50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Male,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Sales, Male,40, United-States, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Male,40, United-States, >50K
36, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Male,40, United-States, >50K
33, Private, HS-grad, Never-married, Farming-fishing, Male,20, United-States, <=50K
22, State-gov, Some-college, Never-married, Protective-serv, Female,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Never-married, Sales, Male,42, United-States, <=50K
67, ?, 11th, Married-civ-spouse, ?, Male,8, United-States, <=50K
30, ?, Assoc-voc, Divorced, ?, Female,40, United-States, <=50K
56, Private, Assoc-acdm, Married-spouse-absent, Other-service, Male,25, Iran, <=50K
